ticker,return,buy and hold return,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Num Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,plot_path
sh-600779,-15.959999999999999,-21.543196306880642,-16.13,-16.13,121.0,121.0,1.0,0.0,-18.237915666780946,-18.237915666780946,-18.237915666780946,120.0,120.0,./results/plots/./data/raw/outsample\history_stock_sh-600779.csv.html
sh-600079,-0.36,10.991787744788379,-1.8233786713975908,-1.276689335698794,80.0,52.5,2.0,50.0,2.5230769230769168,-4.19618528610356,-0.8934822252491204,35.0,29.0,./results/plots/./data/raw/outsample\history_stock_sh-600079.csv.html
sh-600885,-0.06,1.9101959811461078,-3.2724430985640374,-0.7975484540441857,126.0,27.8,3.0,66.66666666666666,1.4557118184061135,-1.6216216216216162,-0.030762284037333387,26.0,24.0,./results/plots/./data/raw/outsample\history_stock_sh-600885.csv.html
sz-300257,0.53,3.1649831649831692,-0.4393409885172228,-0.2889455219543674,63.0,23.25,2.0,100.0,2.868579052701792,0.6635700066357053,1.760102245206041,30.0,27.0,./results/plots/./data/raw/outsample\history_stock_sz-300257.csv.html
sh-600748,-0.06999999999999999,-3.5230352303523005,-0.27000000000000357,-0.16500000000000403,102.0,62.5,1.0,0.0,-1.9283746556473802,-1.9283746556473802,-1.9283746556473802,120.0,120.0,./results/plots/./data/raw/outsample\history_stock_sh-600748.csv.html
sh-600398,-0.05,-5.219206680584551,-0.10999999999999899,-0.06248201034392831,65.0,22.25,1.0,0.0,-1.0893246187363759,-1.0893246187363759,-1.0893246187363759,90.0,90.0,./results/plots/./data/raw/outsample\history_stock_sh-600398.csv.html
sz-000600,-0.24,8.620689655172423,-0.5286255735088785,-0.2695378594356498,46.0,23.666666666666668,2.0,0.0,-1.3671875,-3.195488721804507,-2.285614108994205,35.0,24.5,./results/plots/./data/raw/outsample\history_stock_sz-000600.csv.html
sz-000758,0.05,0.623700623700629,-0.26000000000000467,-0.1333053505890895,61.0,43.333333333333336,1.0,100.0,1.0395010395010562,1.0395010395010562,1.0395010395010562,84.0,84.0,./results/plots/./data/raw/outsample\history_stock_sz-000758.csv.html
sh-603816,-8.19,-18.678414096916303,-10.560000000000002,-10.560000000000002,152.0,152.0,1.0,0.0,-14.614561027837258,-14.614561027837258,-14.614561027837258,138.0,138.0,./results/plots/./data/raw/outsample\history_stock_sh-603816.csv.html
sz-000540,-0.06,-8.421052631578943,-0.11995201919232645,-0.039986005397879554,116.0,31.25,2.0,0.0,-0.520833333333337,-2.777777777777779,-1.65577979287167,53.0,37.5,./results/plots/./data/raw/outsample\history_stock_sz-000540.csv.html
sh-600131,0.4,23.110785033015407,-0.3676105315449596,-0.25223912986639396,7.0,5.0,1.0,100.0,2.4721878862793423,2.4721878862793423,2.4721878862793423,15.0,15.0,./results/plots/./data/raw/outsample\history_stock_sh-600131.csv.html
sz-000027,-0.08,-1.6923076923076972,-0.4088144381294234,-0.2094057195145771,150.0,76.0,3.0,66.66666666666666,0.9160305343511421,-2.20913107511046,-0.38788222923714644,24.0,17.666666666666668,./results/plots/./data/raw/outsample\history_stock_sz-000027.csv.html
sz-300324,0.19,12.389380530973447,-0.20991603358656574,-0.06421344262854202,53.0,17.714285714285715,1.0,100.0,5.671641791044779,5.671641791044779,5.671641791044779,91.0,91.0,./results/plots/./data/raw/outsample\history_stock_sz-300324.csv.html
sh-600673,0.0,26.61555312157721,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/outsample\history_stock_sh-600673.csv.html
sh-600801,-1.7399999999999998,-8.924949290060843,-2.1193641907427785,-1.079680095571367,152.0,77.0,1.0,0.0,-8.823529411764696,-8.823529411764696,-8.823529411764696,154.0,154.0,./results/plots/./data/raw/outsample\history_stock_sh-600801.csv.html
sh-603866,-0.59,-15.481927710843385,-1.1258344126731101,-0.7928482270303461,86.0,48.0,1.0,0.0,-4.030054644808745,-4.030054644808745,-4.030054644808745,96.0,96.0,./results/plots/./data/raw/outsample\history_stock_sh-603866.csv.html
sz-002081,-0.04,-3.9062500000000036,-0.27980413710402274,-0.05996619033343068,96.0,19.5,1.0,0.0,-0.8016032064128265,-0.8016032064128265,-0.8016032064128265,120.0,120.0,./results/plots/./data/raw/outsample\history_stock_sz-002081.csv.html
sh-603198,-5.04,-14.62345389071551,-5.635205097570683,-2.947602548785344,122.0,62.5,2.0,0.0,-1.9856887298747794,-6.5741050518568045,-4.307394496035766,103.0,55.0,./results/plots/./data/raw/outsample\history_stock_sh-603198.csv.html
sh-600884,0.33,-3.143149982917657,-1.940795922368166,-0.8660189562550621,90.0,31.666666666666668,2.0,50.0,3.237650200267028,-2.1955403087478453,0.4843400616812765,29.0,23.0,./results/plots/./data/raw/outsample\history_stock_sh-600884.csv.html
sz-002705,1.8499999999999999,5.666511843938685,-2.249203821656054,-0.8219743314456934,72.0,36.75,2.0,50.0,11.364740165128694,-2.2611905860636883,4.329560118079923,61.0,37.5,./results/plots/./data/raw/outsample\history_stock_sz-002705.csv.html
sh-603486,-5.55,-25.322893122376488,-5.600000000000005,-5.600000000000005,38.0,38.0,1.0,0.0,-5.617408906882593,-5.617408906882593,-5.617408906882593,37.0,37.0,./results/plots/./data/raw/outsample\history_stock_sh-603486.csv.html
sh-600623,0.06999999999999999,-10.69711538461539,-0.25945514419718485,-0.10319025244448499,56.0,15.5,1.0,100.0,0.9497964721845387,0.9497964721845387,0.9497964721845387,103.0,103.0,./results/plots/./data/raw/outsample\history_stock_sh-600623.csv.html
sh-603893,1.4000000000000001,-2.3503831020915262,-15.55779262377598,-5.300317979747743,136.0,37.0,2.0,50.0,5.027703673301875,-3.5317860746720497,0.6570165763025049,84.0,52.0,./results/plots/./data/raw/outsample\history_stock_sh-603893.csv.html
sh-603225,-1.22,-12.914485165794067,-1.539999999999997,-1.539999999999997,151.0,151.0,2.0,50.0,0.3996003996004083,-10.871440897325279,-5.40363792354005,98.0,61.5,./results/plots/./data/raw/outsample\history_stock_sh-603225.csv.html
sz-300115,0.97,12.622309197651655,-0.9867437456393846,-0.28455885418812166,51.0,16.5,1.0,100.0,9.709709709709724,9.709709709709724,9.709709709709724,88.0,88.0,./results/plots/./data/raw/outsample\history_stock_sz-300115.csv.html
sz-000898,-0.16999999999999998,-5.9561128526645755,-0.21997800219978325,-0.11498900109989107,98.0,50.5,1.0,0.0,-5.3459119496855445,-5.3459119496855445,-5.3459119496855445,102.0,102.0,./results/plots/./data/raw/outsample\history_stock_sz-000898.csv.html
sh-600903,0.54,4.955527318932652,-0.5366192984199492,-0.24271165070709477,62.0,30.6,3.0,100.0,5.976095617529875,0.12755102040815647,2.3405175981292325,37.0,25.666666666666668,./results/plots/./data/raw/outsample\history_stock_sh-600903.csv.html
sh-601615,0.8999999999999999,-11.038381434096998,-2.383964191884791,-1.3314229609963895,84.0,35.5,3.0,66.66666666666666,4.169240271772678,-1.7033773861967694,0.9386403431756563,36.0,22.333333333333332,./results/plots/./data/raw/outsample\history_stock_sh-601615.csv.html
sh-603338,-4.71,-16.02828520919269,-6.7123958843704035,-3.3661979421852006,127.0,64.5,1.0,0.0,-9.880427942101955,-9.880427942101955,-9.880427942101955,128.0,128.0,./results/plots/./data/raw/outsample\history_stock_sh-603338.csv.html
sz-002440,0.09,-0.24937655860348598,-0.27000000000000357,-0.06712430192709538,38.0,14.285714285714286,2.0,100.0,0.7556675062972307,0.37641154328733606,0.5658607427526219,58.0,39.5,./results/plots/./data/raw/outsample\history_stock_sz-002440.csv.html
